Crossing,Adopted Flow (m^3/s),Barrels,Diameter (m),Barrel Shape,Barrel Material,Inlet Type,Inlet Edge Type,Span (m),Rise (m),Barrel Length (m),Inlet Invert Elev (m),Outlet Invert Elev (m),Roadway Width (m),Roadway Elevation (m),Tailwater Elevation (m),Status,Error Message,Computed Flow (m^3/s),Headwater Elevation (m),HW:D ratio,Outlet Velocity (m/s),Flow Type,Overtopping,q_from_hw (m^3/s),Flow Error (m^3/s),hw_from_q Workspace,q_from_hw Workspace
3a-21200,31.7,5,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,31.7000,2.0700,0.8000,2.9600,2-M2c,No,31.7000,0.0000,C:\Temp\hy8\3a-21200,C:\Temp\hy8\3a-21200
3a-23400,7.35,7,0.9,Circle,Corrugated Steel,Straight,Thin Edge Projecting,0.9000,0.9000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,7.3500,1.3300,1.3111,2.3000,7-M2c,No,7.3500,0.0000,C:\Temp\hy8\3a-23400,C:\Temp\hy8\3a-23400
3a-24700,44.7167,7,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,44.7200,2.0800,0.8042,2.9700,2-M2c,No,44.7167,0.0000,C:\Temp\hy8\3a-24700,C:\Temp\hy8\3a-24700
3a-25700,7.19,2,1.5,Circle,Corrugated Steel,Straight,Thin Edge Projecting,1.5000,1.5000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,7.1900,1.9200,1.1800,2.9200,7-M2c,No,7.1900,0.0000,C:\Temp\hy8\3a-25700,C:\Temp\hy8\3a-25700
3a-26200,28.1,4,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,28.1000,2.1900,0.8500,3.0600,2-M2c,No,28.1000,0.0000,C:\Temp\hy8\3a-26200,C:\Temp\hy8\3a-26200
3a-26900,24.4036,4,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,24.4000,2.0200,0.7792,2.9200,2-M2c,No,24.4036,0.0000,C:\Temp\hy8\3a-26900,C:\Temp\hy8\3a-26900
3a-29800,14.7,4,1.5,Circle,Corrugated Steel,Straight,Thin Edge Projecting,1.5000,1.5000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,14.7000,1.9500,1.2000,2.9400,7-M2c,No,14.7000,0.0000,C:\Temp\hy8\3a-29800,C:\Temp\hy8\3a-29800
3a-31200,42.7076,6,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,42.7100,2.2000,0.8542,3.0800,2-M2c,No,42.7076,0.0000,C:\Temp\hy8\3a-31200,C:\Temp\hy8\3a-31200
3a-32100,18.6,5,1.5,Circle,Corrugated Steel,Straight,Thin Edge Projecting,1.5000,1.5000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,18.6000,1.9700,1.2133,2.9600,7-M2c,No,18.6000,0.0000,C:\Temp\hy8\3a-32100,C:\Temp\hy8\3a-32100
3a-3300,12.33210447,2,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,12.3300,2.0400,0.7875,2.9300,2-M2c,No,12.3321,0.0000,C:\Temp\hy8\3a-3300,C:\Temp\hy8\3a-3300
3a-33600,15.4995,3,2.4,Circle,Corrugated Steel,Straight,Thin Edge Projecting,2.4000,2.4000,30.0000,0.1500,0.0000,10.0000,20.0000,0.0000,Success,,15.5000,1.8500,0.7083,2.7700,2-M2c,No,15.4995,0.0000,C:\Temp\hy8\3a-33600,C:\Temp\hy8\3a-33600
